TEAM,GP,W,L,MIN,"%FGA
2PT","%FGA
3PT","%PTS
2PT","%PTS
2PT- MR","%PTS
3PT","%PTS
FBPs","%PTS
FT","%PTS
OffTO","%PTS
PITP","2FGM
%AST","2FGM
%UAST","3FGM
%AST","3FGM
%UAST","FGM
%AST","FGM
%UAST","Opp
FGM","Opp
FGA","Opp
FG%","Opp
3PM","Opp
3PA","Opp
3P%","Opp
FTM","Opp
FTA","Opp
FT%","Opp
OREB","Opp
DREB","Opp
REB","Opp
AST","Opp
TOV","Opp
STL","Opp
BLK","Opp
BLKA","Opp
PF","Opp
PFD","Opp
PTS",DEF RTG,DREB,DREB%,STL,BLK,"OPP PTS
OFF TOV","OPP PTS
2ND CHANCE","OPP PTS
FB","OPP PTS
PAINT",Year
Atlanta Hawks,82,60,22,48.1,67.9,32.1,54.8,14.4,29.2,13,16,17.9,40.4,59.1,40.9,91.8,8.2,67.6,32.4,36.5,83.1,43.9,8.8,25.8,34.1,15.4,20.1,76.4,11.6,32.1,43.6,23.5,16.1,7.4,4.9,4.6,19.6,17.8,97.1,102.3,31.8,69.7,9.1,4.6,15.7,14.2,11.2,39.4,2014-2015
Boston Celtics,82,40,42,48.5,72,28,60.9,19.7,23.8,13.7,15.2,17.1,41.2,56.5,43.5,87.7,12.3,62.9,37.1,38.1,84.7,45,7.4,22,33.6,17.6,23.3,75.5,10.9,33.8,44.7,21.9,15.1,7.1,5.3,3.6,18.8,21.2,101.2,103.5,32.7,71,8.2,3.6,16.2,13.5,10.9,44.6,2014-2015
Brooklyn Nets,82,38,44,48.6,76,24,62.9,16.9,20.2,9.6,16.9,14.6,46,48.8,51.2,89.1,10.9,55.9,44.1,38.4,84.3,45.6,8.5,23.7,35.8,15.6,21.3,73.1,11.4,32.9,44.3,23.7,13.9,7.8,4.5,4.1,20,19.3,100.9,106.3,32,70.1,7,4.1,15.6,14,13.8,43.6,2014-2015
Charlotte Hornets,82,33,49,48.5,77.4,22.6,62.6,23.8,19.3,9.7,18.1,14.2,38.8,52.1,47.9,79.3,20.7,56.8,43.2,36.8,83.7,44,7.9,22.1,35.7,15.8,20.4,77.2,8.9,35.2,44.1,22.1,12.6,6.1,5.4,5.5,20.8,18.2,97.3,103,34.1,74.6,6.1,5.5,12.8,12.6,11,38.5,2014-2015
Chicago Bulls,82,50,32,48.5,73.1,26.9,57,16.3,23.4,10.9,19.6,13.6,40.7,52.5,47.5,84.2,15.8,59.3,40.7,37.7,86.7,43.5,6.6,19.6,33.5,15.7,21,74.9,11.7,31.7,43.4,20.2,12.2,7.5,5.4,5.8,21.2,18.2,97.8,103.3,34,70.9,6.3,5.8,15.3,13.2,13,40.8,2014-2015
Cleveland Cavaliers,82,53,29,48.2,66.6,33.4,53.5,13.8,29.3,11,17.2,15.5,39.7,50.9,49.1,80.3,19.7,58.7,41.3,38.1,83.5,45.6,7.7,22.5,34.3,14.8,19.9,74.5,10.8,30.3,41.1,24.1,13.3,7.8,4.5,4.1,20.5,18.4,98.7,105.3,31.9,71.1,7.4,4.1,16.2,12.4,11.8,42.7,2014-2015
Dallas Mavericks,82,50,32,48.5,70.4,29.6,58.5,17.9,25.5,15.2,16.1,18.3,40.6,48.2,51.8,85.9,14.1,56.7,43.3,38,84.5,45,9,24.8,36.4,17.3,22.9,75.3,12.3,33.9,46.1,22.3,16.3,7.3,3.8,4.5,22.1,20,102.3,104.9,31.8,68.1,8.1,4.5,15.2,14,15.9,40.9,2014-2015
Denver Nuggets,82,30,52,48.5,71.6,28.4,58.6,14.4,23.8,14.8,17.6,16.7,44.3,50.6,49.4,83.9,16.1,57.7,42.3,38.6,84.3,45.8,7.7,22.2,34.6,20.1,26.9,74.8,11,34.1,45.1,23.1,14.4,7.5,6.1,4.5,20.7,23,105,107.1,32.4,70,7.8,4.5,16.4,14.1,13.2,42.9,2014-2015
Detroit Pistons,82,32,50,48.4,71,29,57.9,12.5,26.1,13.6,16,16.1,45.4,51.2,48.8,81.5,18.5,58.2,41.8,37.9,83.1,45.6,7.7,21.8,35.5,16,20.7,77.2,10.7,33.4,44.1,23.8,14,7,4.8,4.7,19.3,19,99.5,105.4,32.1,71.2,7.6,4.7,15.8,13.5,11.3,43,2014-2015
Golden State Warriors,82,67,15,48.1,68.9,31.1,56.1,14.9,29.4,19,14.6,17.9,41.2,60.2,39.8,82.2,17.8,65.9,34.1,37,86.4,42.8,7.2,21.4,33.7,18.7,24.5,76.3,11.7,32.8,44.5,21,16.2,8.3,3.6,6,18.8,19.9,99.9,100.4,34.3,70.3,9.3,6,15.2,14.2,13.9,41.6,2014-2015
